,O3,NO,NO2,NOX,SO2,CO,PM10
69918,0.003,0.031,0.034,0.064,0.002,1.565,122.41
69919,0.001,0.035,0.032,0.067,0.002,1.476,95.49
69920,0.003,0.021,0.032,0.053,0.002,1.246,95.13
69921,0.002,0.044,0.031,0.075,0.002,1.352,104.98
69922,0.009,0.017,0.021,0.038,0.002,0.823,172.52
69923,0.021,0.006,0.012,0.017,0.001,0.455,90.26
69924,0.027,0.005,0.014,0.019,0.001,0.497,49.33
69925,0.031,0.005,0.014,0.019,0.001,0.535,55.72
69926,0.03,0.004,0.019,0.023,0.001,0.598,49.31
69927,0.033,0.004,0.018,0.021,0.001,0.652,70.27
69928,0.03,0.002,0.014,0.016,0.001,0.605,73.22
69929,0.029,0.003,0.013,0.016,0.001,0.609,60.98
69930,0.027,0.002,0.012,0.014,0.001,0.582,44.15
69931,0.009,0.022,0.035,0.056,0.002,1.407,38.05
69932,0.001,0.063,0.04,0.103,0.003,2.383,116.5
69933,0.001,0.037,0.034,0.07,0.003,1.566,143.66
69934,0.001,0.067,0.033,0.101,0.003,2.114,98.62
69935,0.002,0.109,0.032,0.14,0.004,2.339,125.85
69936,0.002,0.062,0.027,0.089,0.004,1.68,174.81
69937,0.001,0.033,0.024,0.057,0.002,1.239,106.97
69938,0.001,0.033,0.022,0.055,0.001,1.245,77
69939,0.001,0.03,0.022,0.053,0.001,0.962,45.89
69940,0.001,0.015,0.02,0.036,0.001,0.832,30.27
69941,0.001,0.022,0.018,0.04,0.001,0.88,19.95
69942,0.001,0.048,0.02,0.068,0.002,1.182,19.27
69943,0.001,0.111,0.02,0.131,0.002,2.204,25.15
69944,0.001,0.167,0.023,0.19,0.005,2.882,47.56
69945,0.001,0.185,0.036,0.221,0.006,3.052,104.31
69946,0.002,0.2,0.051,0.252,0.006,2.918,166.01
69947,0.007,0.069,0.054,0.124,0.004,1.982,241.12
69948,0.018,0.022,0.041,0.063,0.002,1.366,117.17
69949,0.02,0.02,0.037,0.057,0.001,1.014,77.69
69950,0.028,0.01,0.021,0.031,0.001,0.737,72.58
69951,0.033,0.005,0.016,0.02,0.001,0.716,58.14
69952,0.029,0.003,0.01,0.012,0.001,0.688,57.09
69953,0.024,0.003,0.009,0.011,0.001,0.537,117.04
69954,0.018,0.004,0.012,0.016,0.001,0.585,35.58
69955,0.009,0.008,0.021,0.029,0.001,0.796,34.41
69956,0.007,0.007,0.021,0.028,0.001,0.779,52.3
69957,0.01,0.005,0.016,0.021,0.001,0.712,48.36
69958,0.013,0.004,0.013,0.016,0.001,0.687,34.38
69959,0.013,0.011,0.013,0.023,0.001,0.673,21.96
69960,0.002,0.05,0.025,0.075,0.002,1.312,21.27
69961,0.001,0.039,0.024,0.063,0.002,1.247,109.21
69962,0.001,0.054,0.024,0.078,0.002,1.385,81.34
69963,0.001,0.074,0.024,0.098,0.003,1.581,101.81
69964,0.001,0.054,0.02,0.074,0.003,1.323,111
69965,0.001,0.048,0.02,0.068,0.003,1.139,64.89
69966,0.001,0.061,0.02,0.081,0.003,1.405,91.22
69967,0.001,0.113,0.024,0.136,0.003,2.196,63.93
69968,0.001,0.202,0.023,0.225,0.006,3.365,63.79
69969,0.002,0.164,0.03,0.195,0.007,3.003,93.94
69970,0.002,0.096,0.042,0.138,0.005,2.218,96.87
69971,0.007,0.049,0.037,0.086,0.004,1.463,127.48
69972,0.017,0.014,0.025,0.038,0.002,1.019,115.92
69973,0.024,0.012,0.023,0.034,0.002,0.853,55.8
69974,0.027,0.009,0.026,0.035,0.002,0.917,49.99
69975,0.018,0.007,0.02,0.026,0.002,0.919,65.93
69976,0.018,0.007,0.014,0.02,0.002,0.804,92.24
69977,0.019,0.005,0.016,0.02,0.002,0.803,40.04
69978,0.013,0.006,0.021,0.026,0.002,0.841,44.55
69979,0.004,0.013,0.027,0.04,0.002,1.012,42.76
69980,0.002,0.018,0.027,0.044,0.002,1.042,48.06
69981,0.001,0.03,0.026,0.056,0.002,1.206,43.91
69982,0.001,0.05,0.025,0.076,0.003,1.404,47.93
69983,0.001,0.064,0.026,0.091,0.004,1.694,46.92
69984,0.001,0.065,0.024,0.088,0.004,1.693,71.96
69985,0.001,0.077,0.024,0.101,0.003,1.631,60.6
69986,0.001,0.053,0.021,0.074,0.003,1.403,70.15
69987,0.001,0.021,0.02,0.041,0.002,0.823,40.93
69988,0.003,0.004,0.016,0.02,0.002,0.573,24.13
69989,0.002,0.005,0.017,0.021,0.002,0.576,17.92
69990,0.001,0.007,0.018,0.024,0.001,0.597,15.82
69991,0.001,0.015,0.018,0.033,0.002,0.808,20.42
69992,0.001,0.067,0.019,0.085,0.002,1.658,26.9
69993,0.002,0.053,0.021,0.074,0.003,1.473,81.81
69994,0.004,0.044,0.028,0.072,0.003,1.205,80.55
69995,0.014,0.025,0.024,0.049,0.002,0.989,73.99
69996,0.025,0.007,0.016,0.022,0.002,0.636,64.55
69997,0.027,0.004,0.012,0.016,0.002,0.494,78.41
69998,0.029,0.003,0.009,0.012,0.002,0.41,38.21
69999,0.032,0.005,0.02,0.024,0.002,0.639,21.96
70000,0.02,0.006,0.019,0.024,0.001,0.574,41.13
70001,0.013,0.008,0.016,0.024,0.001,0.523,24.24
70002,0.015,0.004,0.013,0.016,0.002,0.456,30.15
70003,0.009,0.007,0.021,0.027,0.002,0.624,17.71
70004,0.002,0.054,0.029,0.083,0.002,1.484,27.11
70005,0.002,0.083,0.028,0.111,0.004,2.019,47.45
70006,0.002,0.108,0.029,0.137,0.005,2.232,63.44
70007,0.002,0.097,0.029,0.126,0.005,2.308,147.57
70008,0.002,0.147,0.026,0.173,0.006,2.926,87.1
70009,0.001,0.151,0.025,0.176,0.006,2.869,89.4
70010,0.001,0.126,0.023,0.149,0.005,2.654,83.57
70011,0.001,0.061,0.021,0.082,0.004,1.48,62.85
70012,0.001,0.037,0.019,0.056,0.002,1.153,33.85
70013,0.001,0.092,0.021,0.113,0.003,2.1,39.06
70014,0.001,0.152,0.02,0.173,0.004,3.021,112.18
70015,0.001,0.16,0.021,0.181,0.005,3.396,119.07
70016,0.002,0.247,0.025,0.272,0.007,4.221,139.31
70017,0.002,0.221,0.034,0.255,0.007,3.118,189.03
70018,0.003,0.158,0.063,0.221,0.007,2.756,236.77
70019,0.011,0.034,0.033,0.067,0.004,1.21,188.68
70020,0.023,0.012,0.023,0.034,0.002,0.718,71.11
70021,0.032,0.009,0.024,0.032,0.001,0.686,52.84
70022,0.03,0.013,0.028,0.041,0.001,0.606,66.05
70023,0.043,0.003,0.014,0.017,0.001,0.418,80.97
70024,0.046,0.003,0.014,0.017,0.001,0.421,48.86
70025,0.049,0.003,0.015,0.017,0.001,0.567,56.34
70026,0.041,0.003,0.027,0.029,0.001,0.699,75.14
70027,0.019,0.01,0.045,0.055,0.001,1.135,68.73
70028,0.001,0.057,0.052,0.109,0.002,2.126,82.02
70029,0.001,0.142,0.051,0.193,0.005,3.145,107.91
70030,0.001,0.165,0.05,0.216,0.006,3.25,161.21
70031,0.001,0.138,0.047,0.185,0.007,2.859,280.89
70032,0.002,0.116,0.045,0.162,0.006,2.302,247.56
70033,0.001,0.071,0.037,0.108,0.004,1.527,215.9
70034,0.001,0.069,0.033,0.102,0.003,1.282,125.88
70035,0.001,0.105,0.034,0.139,0.003,1.839,95.94
70036,0.001,0.164,0.039,0.203,0.005,2.833,113.02
70037,0.002,0.125,0.034,0.159,0.005,2.409,117.16
70038,0.001,0.091,0.028,0.119,0.004,1.692,145.32
70039,0.001,0.142,0.031,0.173,0.003,1.911,153.6
70040,0.001,0.231,0.031,0.263,0.006,2.877,175.32
70041,0.002,0.2,0.041,0.241,0.007,3.103,264.95
70042,0.005,0.106,0.052,0.158,0.006,2.309,245.75
70043,0.019,0.02,0.034,0.054,0.003,1.123,217.6
70044,0.032,0.009,0.027,0.037,0.001,0.836,128
70045,0.032,0.009,0.026,0.034,0.001,0.668,99.49
70046,0.027,0.011,0.023,0.034,0.001,0.521,69.02
70047,0.04,0.004,0.015,0.018,0.001,0.508,56.93
70048,0.044,0.002,0.01,0.011,0.001,0.444,58.07
70049,0.041,0.002,0.012,0.013,0.001,0.486,42.05
70050,0.039,0.003,0.017,0.02,0.001,0.607,39
70051,0.019,0.006,0.032,0.038,0.001,0.993,52.52
70052,0.001,0.047,0.045,0.092,0.002,1.811,54.43
70053,0.002,0.072,0.041,0.112,0.003,2.189,75.05
70054,0.002,0.037,0.034,0.07,0.003,1.467,80.97
70055,0.009,0.005,0.022,0.027,0.001,0.778,66.72
70056,0.002,0.081,0.032,0.113,0.002,1.667,39.07
70057,0.001,0.069,0.031,0.101,0.003,1.536,145.52
70058,0.001,0.069,0.028,0.097,0.003,1.506,125.43
70059,0.001,0.048,0.026,0.074,0.003,1.237,94.23
70060,0.001,0.041,0.026,0.067,0.003,1.207,76.11
70061,0.001,0.032,0.025,0.058,0.002,1.048,69.19
70062,0.001,0.086,0.024,0.11,0.003,1.666,82.28
70063,0.001,0.094,0.024,0.118,0.004,1.916,107.31
70064,0.001,0.193,0.026,0.219,0.005,3.212,132.08
70065,0.002,0.167,0.034,0.201,0.007,3.248,128.96
70066,0.004,0.103,0.048,0.151,0.006,2.22,243.95
70067,0.013,0.039,0.044,0.083,0.003,1.544,144.53
70068,0.03,0.007,0.017,0.023,0.002,0.66,156.88
70069,0.038,0.005,0.017,0.021,0.002,0.6,82.79
70070,0.047,0.004,0.017,0.02,0.001,0.584,77.59
70071,0.051,0.004,0.018,0.021,0.001,0.562,76.03
70072,0.039,0.004,0.013,0.017,0.001,0.46,75.21
70073,0.044,0.003,0.016,0.018,0.001,0.49,39.93
70074,0.043,0.002,0.018,0.02,0.002,0.617,42.62
70075,0.032,0.003,0.044,0.047,0.001,1.24,46.61
70076,0.003,0.049,0.078,0.127,0.002,2.574,78.34
70077,0.002,0.079,0.07,0.15,0.004,3.288,121.99
70078,0.017,0.028,0.035,0.063,0.004,1.783,139.62
70079,0.008,0.01,0.035,0.045,0.002,1.402,122.47
70080,0.005,0.047,0.023,0.07,0.001,2.929,158.5
70081,0.005,0.054,0.022,0.076,0.001,2.126,118.9
70082,0.005,0.077,0.026,0.103,0.002,2.91,135.5
70083,0.004,0.096,0.027,0.123,0.003,3.434,132.3
70084,0.004,0.105,0.027,0.132,0.003,3.153,107.6
70085,0.004,0.086,0.023,0.109,0.002,2.721,87.4
70086,0.005,0.096,0.022,0.118,0.003,3.954,174.9
70087,0.005,0.105,0.022,0.127,0.003,3.592,170.2
70088,0.005,0.094,0.019,0.113,0.003,3.086,131.4
70089,0.004,0.069,0.019,0.088,0.002,2.096,75.2
70090,0.004,0.036,0.015,0.051,0.001,0.953,38.7
70091,0.005,0.009,0.007,0.015,0,0.401,13.8
70092,0.007,0.005,0.005,0.01,0,0.349,18.5
70093,0.009,0.005,0.004,0.009,0,0.291,17.7
70094,0.011,0.006,0.011,0.016,0,0.583,40.2
70095,0.012,0.005,0.012,0.017,0,0.627,59.4
70096,0.013,0.005,0.013,0.018,0,0.625,53.4
70097,0.009,0.006,0.009,0.014,0,0.582,50.3
70098,0.007,0.006,0.009,0.014,0,0.964,80.5
70099,0.005,0.008,0.015,0.023,0,0.871,53.8
70100,0.004,0.026,0.02,0.046,0.001,1.248,45.9
70101,0.003,0.061,0.029,0.09,0.002,1.949,80.2
70102,0.003,0.044,0.028,0.072,0.001,1.516,64.9
70103,0.003,0.068,0.028,0.096,0.002,2.237,96.5
70104,0.003,0.107,0.029,0.136,0.003,2.74,135.3
70105,0.004,0.127,0.028,0.155,0.003,2.843,128.2
70106,0.004,0.101,0.023,0.124,0.003,2.41,97.8
70107,0.004,0.083,0.016,0.099,0.002,2.404,92.4
70108,0.003,0.065,0.013,0.078,0.002,1.671,56.4
70109,0.003,0.08,0.018,0.098,0.002,1.943,63.1
70110,0.003,0.09,0.016,0.106,0.002,2.308,75.5
70111,0.004,0.116,0.02,0.136,0.003,2.928,97.3
70112,0.004,0.079,0.014,0.093,0.002,2.577,42.3
70113,0.004,0.145,0.027,0.172,0.004,3.205,59
70114,0.003,0.115,0.023,0.138,0.003,2.027,59
70115,0.004,0.022,0.008,0.03,0,0.375,19.4
70116,0.006,0.008,0.007,0.014,0,0.307,24.2
70117,0.009,0.005,0.003,0.007,0,0.187,11.4
70118,0.012,0.004,0.001,0.004,0,0.151,10.7
70119,0.013,0.004,0.001,0.003,0,0.124,6.1
70120,0.014,0.005,0.001,0.004,0,0.129,9.6
70121,0.015,0.005,0.001,0.005,0,0.232,21
70122,0.015,0.005,0.002,0.007,0,0.139,16.9
70123,0.01,0.011,0.02,0.031,0,0.68,40.3
70124,0.003,0.065,0.036,0.101,0.002,1.588,94
70125,0.003,0.085,0.038,0.123,0.002,2.316,222.1
70126,0.004,0.05,0.027,0.077,0.001,1.127,124
70127,0.005,0.009,0.015,0.024,0,0.361,32.5
70128,0.006,0.006,0.011,0.016,0,0.377,28.2
70129,0.008,0.005,0.008,0.012,0,0.275,18.2
70130,0.008,0.004,0.006,0.01,0,0.228,11
70131,0.009,0.004,0.002,0.005,0,0.185,6.9
70132,0.008,0.004,0.002,0.006,0,0.201,9.1
70133,0.008,0.004,0.003,0.007,0,0.19,7.4
70134,0.008,0.004,0.003,0.007,0,0.2,9.1
70135,0.007,0.005,0.004,0.008,0,0.219,12.8
70136,0.007,0.005,0.006,0.011,0,0.273,14.3
70137,0.006,0.007,0.006,0.013,0,0.296,22.2
70138,0.009,0.007,0.002,0.008,0,0.235,23.2
70139,0.011,0.006,0.001,0.006,0,0.189,18
70140,0.013,0.006,0.001,0.005,0,0.199,14.9
70141,0.015,0.005,0.001,0.004,0,0.198,16.9
70142,0.018,0.005,0.001,0.004,0,0.229,17.1
70143,0.019,0.005,0.001,0.004,0,0.209,19.9
70144,0.019,0.005,0.001,0.005,0,0.226,24
70145,0.019,0.005,0.002,0.005,0,0.197,27.1
70146,0.02,0.005,0.001,0.005,0,0.174,24.7
70147,0.017,0.007,0.011,0.017,0,0.744,51.8
70148,0.005,0.043,0.034,0.077,0.002,2.912,339.6
70149,0.004,0.081,0.041,0.122,0.002,2.202,175.5
70150,0.004,0.095,0.041,0.136,0.003,2.658,203.2
70151,0.004,0.144,0.044,0.188,0.004,4.049,276.5
70152,0.004,0.103,0.034,0.137,0.003,3.615,278.2
70153,0.004,0.115,0.033,0.148,0.004,3.959,284.2
70154,0.004,0.144,0.034,0.178,0.004,4.133,310.7
70155,0.004,0.136,0.035,0.171,0.004,3.01,206.8
70156,0.005,0.118,0.023,0.141,0.004,4.313,234.9
70157,0.004,0.111,0.021,0.133,0.003,3.397,189.6
70158,0.004,0.149,0.032,0.181,0.004,2.606,176.9
70159,0.004,0.119,0.026,0.145,0.003,3.321,193.6
70160,0.004,0.125,0.028,0.153,0.003,3.359,147.2
70161,0.004,0.139,0.033,0.172,0.004,3.12,181.9
70162,0.004,0.088,0.036,0.124,0.003,1.662,103.7
70163,0.004,0.029,0.022,0.051,0.001,0.752,61.9
70164,0.007,0.009,0.013,0.021,0.001,0.498,45.4
70165,0.014,0.006,0.008,0.014,0.001,0.296,40.1
70166,0.015,0.006,0.006,0.011,0.001,0.606,37.3
70167,0.013,0.004,0.001,0.005,0,0.127,31.9
70168,0.014,0.005,0.001,0.006,0,0.148,41.6
70169,0.014,0.005,0.001,0.006,0,0.167,44.1
70170,0.011,0.006,0.005,0.01,0,0.285,75.4
70171,0.008,0.008,0.013,0.021,0,0.833,114.2
70172,0.004,0.053,0.03,0.083,0.002,2.573,253.9
70173,0.004,0.122,0.038,0.16,0.005,4.019,407.7
70174,0.003,0.056,0.024,0.08,0.002,1.182,136.8
70175,0.004,0.013,0.016,0.028,0.001,0.514,60.6
70176,0.004,0.009,0.014,0.023,0,0.602,62.9
70177,0.006,0.006,0.011,0.016,0,0.482,34.7
70178,0.008,0.005,0.005,0.009,0,0.288,21
70179,0.007,0.008,0.01,0.017,0,0.391,18.6
70180,0.004,0.024,0.017,0.041,0,0.763,33.2
70181,0.004,0.03,0.016,0.046,0.001,1.287,53.2
70182,0.004,0.045,0.018,0.064,0.001,1.029,34.7
70183,0.004,0.061,0.018,0.079,0.001,2.195,82.3
70184,0.004,0.069,0.018,0.086,0.002,3.741,149.2
70185,0.004,0.054,0.018,0.072,0.003,1.898,88
70186,0.003,0.046,0.021,0.067,0.005,1.127,47.9
70187,0.005,0.015,0.013,0.028,0.004,0.694,44.1
70188,0.011,0.006,0.003,0.008,0.002,0.2,7.8
70189,0.017,0.005,0.001,0.006,0.001,0.2,15.9
70190,0.017,0.005,0.003,0.007,0,0.95,31.7
70191,0.014,0.005,0.001,0.005,0,0.459,42.4
70192,0.016,0.005,0.001,0.004,0,0.179,32.4
70193,0.015,0.005,0.001,0.004,0,0.23,37.5
70194,0.014,0.005,0.003,0.007,0,0.328,43
70195,0.008,0.007,0.016,0.023,0,1.038,74
70196,0.004,0.032,0.026,0.059,0.001,1.636,172.7
70197,0.004,0.062,0.031,0.093,0.002,2.379,220.6
70198,0.004,0.069,0.029,0.098,0.003,2.533,207.6
70199,0.004,0.129,0.037,0.167,0.004,3.252,261.7
70200,0.004,0.182,0.042,0.224,0.006,4.361,294.6
70201,0.005,0.106,0.024,0.131,0.003,4.103,273.3
70202,0.004,0.115,0.026,0.141,0.004,3.211,168.3
70203,0.004,0.129,0.027,0.156,0.004,3.225,180.8
70204,0.005,0.091,0.019,0.11,0.003,3.677,166.4
70205,0.003,0.068,0.019,0.088,0.002,1.395,61.4
70206,0.003,0.076,0.022,0.098,0.002,1.467,68.4
70207,0.003,0.099,0.026,0.125,0.004,1.681,78.2
70208,0.004,0.115,0.028,0.143,0.005,2.625,141.5
70209,0.004,0.115,0.029,0.145,0.005,2.806,200.8
70210,0.003,0.093,0.031,0.125,0.005,1.953,127.6
70211,0.004,0.022,0.013,0.035,0.004,0.399,46.9
70212,0.007,0.008,0.01,0.018,0.003,0.292,43.7
70213,0.012,0.005,0.007,0.012,0.002,0.194,34.5
70214,0.011,0.009,0.019,0.027,0.001,0.586,79.4
70215,0.015,0.007,0.014,0.02,0.001,0.298,62.5
70216,0.013,0.007,0.024,0.031,0.001,0.568,86.3
70217,0.009,0.008,0.022,0.03,0.001,0.516,56.8
70218,0.006,0.009,0.026,0.035,0.001,0.533,73.3
70219,0.004,0.021,0.035,0.056,0.001,1.007,112
70220,0.003,0.063,0.042,0.105,0.003,1.798,148.7
70221,0.003,0.132,0.049,0.182,0.005,3.042,254.2
70222,0.004,0.092,0.043,0.135,0.004,2.355,239
70223,0.004,0.161,0.05,0.211,0.006,4.784,518.3
70224,0.004,0.143,0.043,0.186,0.005,3.842,400.3
70225,0.004,0.105,0.039,0.145,0.004,2.451,276
70226,0.004,0.05,0.028,0.078,0.003,1.202,131.6
70227,0.004,0.044,0.025,0.068,0.002,1.976,129.9
70228,0.003,0.016,0.017,0.033,0.001,0.423,26.8
70229,0.005,0.005,0.011,0.015,0.001,0.149,15.8
70230,0.005,0.006,0.012,0.017,0,0.186,19.7
70231,0.004,0.009,0.013,0.022,0,0.303,29.2
70232,0.004,0.009,0.013,0.022,0,0.403,35.9
70233,0.004,0.011,0.01,0.02,0,0.368,45.1
70234,0.006,0.008,0.005,0.012,0,0.186,35.4
70235,0.009,0.007,0.003,0.01,0,0.153,39.4
70236,0.012,0.006,0.002,0.007,0.001,0.137,33.8
70237,0.016,0.005,0.003,0.008,0.001,0.172,38.9
70238,0.019,0.005,0.003,0.008,0.001,0.136,38.8
70239,0.032,0.005,0.006,0.007,0.001,0.132,40.2
70240,0.053,0.004,0.001,0.004,0.001,0.091,45.3
70241,0.053,0.004,0.001,0.005,0,0.095,47.2
70242,0.041,0.005,0.008,0.012,0,0.361,64.2
70243,0.019,0.008,0.024,0.031,0.001,0.616,78.7
70244,0.007,0.021,0.034,0.054,0.002,1.528,196.4
70245,0.005,0.035,0.031,0.066,0.002,1.87,228.6
70246,0.003,0.044,0.031,0.075,0.002,1.454,197.5
70247,0.003,0.046,0.034,0.079,0.002,1.425,157.1
70248,0.003,0.041,0.031,0.072,0.002,1.345,178
70249,0.003,0.038,0.03,0.068,0.002,1.504,158.3
70250,0.003,0.053,0.03,0.082,0.003,1.691,166.5
70251,0.004,0.068,0.025,0.094,0.003,2.008,162.2
70252,0.003,0.062,0.024,0.086,0.002,1.424,105.8
70253,0.004,0.075,0.023,0.098,0.002,1.754,117.2
70254,0.005,0.054,0.017,0.071,0.002,2.553,149
70255,0.003,0.121,0.031,0.152,0.004,2.39,141.9
70256,0.004,0.173,0.036,0.209,0.005,3.869,229.4
70257,0.005,0.136,0.035,0.171,0.005,4.849,356.7
70258,0.005,0.086,0.043,0.129,0.007,2.362,193.5
70259,0.011,0.05,0.044,0.094,0.006,1.584,152.2
70260,0.028,0.013,0.023,0.036,0.004,0.61,54
70261,0.038,0.006,0.009,0.014,0.002,0.306,34.1
70262,0.044,0.005,0.007,0.012,0.001,0.533,42.4
70263,0.044,0.004,0.003,0.007,0.001,0.253,39.1
70264,0.036,0.005,0.002,0.008,0,0.168,30.8
70265,0.034,0.005,0.001,0.005,0,0.176,42.9
70266,0.031,0.005,0.004,0.008,0,0.287,51.6
70267,0.014,0.011,0.018,0.028,0,0.876,180.3
70268,0.004,0.063,0.036,0.099,0.003,2.171,351.3
70269,0.004,0.069,0.033,0.102,0.003,2.54,310.8
70270,0.004,0.104,0.037,0.141,0.004,2.639,277.7
70271,0.004,0.17,0.045,0.215,0.006,3.479,320.6
70272,0.004,0.115,0.033,0.148,0.005,2.897,282.9
70273,0.003,0.099,0.03,0.129,0.004,2.283,186.4
70274,0.003,0.098,0.028,0.127,0.004,2.505,244.5
70275,0.004,0.103,0.027,0.131,0.004,2.332,202.2
70276,0.004,0.09,0.024,0.114,0.003,2.489,178.4
70277,0.003,0.092,0.025,0.118,0.003,2.226,145.3
70278,0.004,0.091,0.022,0.113,0.003,2.459,180.3
70279,0.004,0.145,0.031,0.176,0.004,2.604,170.2
70280,0.004,0.211,0.038,0.25,0.007,4.623,296.3
70281,0.004,0.167,0.041,0.208,0.006,4.64,343.8
70282,0.004,0.158,0.06,0.218,0.006,3.495,281.9
70283,0.009,0.085,0.05,0.136,0.005,1.73,168.8
70284,0.026,0.014,0.017,0.03,0.003,0.368,36.7
70285,0.034,0.005,0.006,0.01,0.001,0.183,17
70286,0.043,0.004,0.003,0.007,0.001,0.172,28.9
70287,0.045,0.004,0.002,0.005,0,0.171,25
70288,0.041,0.005,0.001,0.006,0,0.171,55.1
70289,0.037,0.005,0.002,0.006,0,0.134,70.1
70290,0.032,0.005,0.004,0.008,0,0.224,92.3
70291,0.021,0.006,0.009,0.015,0,0.339,129.3
70292,0.006,0.026,0.027,0.052,0.001,1.225,218.5
70293,0.004,0.027,0.028,0.054,0.001,1.024,207.7
70294,0.004,0.039,0.029,0.067,0.001,1.389,203.3
70295,0.003,0.047,0.028,0.075,0.002,1.229,212.1
70296,0.003,0.042,0.027,0.069,0.001,0.813,118.4
70297,0.003,0.058,0.027,0.085,0.002,1.239,119.5
70298,0.004,0.074,0.027,0.101,0.002,1.442,158.5
70299,0.004,0.105,0.031,0.136,0.003,1.939,188.2
70300,0.003,0.087,0.025,0.113,0.003,1.488,127.3
70301,0.004,0.083,0.023,0.106,0.002,1.641,123.2
70302,0.003,0.095,0.023,0.117,0.003,1.758,145.6
70303,0.003,0.113,0.028,0.141,0.003,1.814,150.7
70304,0.004,0.242,0.05,0.292,0.007,3.522,213.6
70305,0.004,0.319,0.064,0.384,0.01,5.438,359.4
70306,0.004,0.157,0.05,0.207,0.007,2.629,232.6
70307,0.014,0.05,0.031,0.081,0.004,1.051,90
70308,0.027,0.013,0.02,0.033,0.002,0.581,47.9
70309,0.038,0.006,0.009,0.014,0.001,0.34,50.1
70310,0.044,0.005,0.005,0.01,0.001,0.333,43.9
70311,0.038,0.005,0.003,0.008,0,0.372,46.6
70312,0.032,0.005,0.003,0.008,0,0.254,90.6
70313,0.027,0.005,0.002,0.006,0,0.235,94.8
70314,0.022,0.006,0.004,0.009,0,0.305,96.2
70315,0.016,0.006,0.008,0.014,0,0.476,109.1
70316,0.009,0.009,0.015,0.024,0,0.693,161.9
70317,0.004,0.034,0.026,0.06,0.001,1.055,176.6
70318,0.003,0.034,0.026,0.06,0.001,0.909,122.9
70319,0.003,0.043,0.027,0.07,0.002,1.214,114.5
70320,0.003,0.048,0.027,0.075,0.002,1.522,108.6
70321,0.003,0.031,0.021,0.052,0.001,1.188,102.9
70322,0.003,0.06,0.025,0.086,0.002,1.247,103.8
70323,0.003,0.049,0.021,0.07,0.002,1.258,104.2
70324,0.003,0.109,0.031,0.14,0.003,1.676,136
70325,0.003,0.089,0.026,0.115,0.003,1.149,116
70326,0.003,0.038,0.019,0.057,0.001,1.129,51.7
70327,0.003,0.038,0.019,0.057,0.001,1.502,56.3
70328,0.003,0.042,0.02,0.061,0.001,1.141,45.9
70329,0.003,0.083,0.028,0.111,0.002,2.15,59.3
70330,0.004,0.077,0.029,0.106,0.002,2.104,61.2
70331,0.004,0.073,0.039,0.113,0.002,1.914,58.6
70332,0.004,0.05,0.034,0.084,0.002,1.622,58.5
70333,0.012,0.021,0.018,0.039,0.001,0.727,22.6
70334,0.017,0.011,0.016,0.027,0.001,0.82,25.2
70335,0.017,0.01,0.016,0.026,0.001,0.808,31.7
70336,0.02,0.008,0.01,0.017,0.001,0.462,17.6
70337,0.015,0.007,0.011,0.018,0,0.543,33.4
70338,0.012,0.01,0.014,0.023,0,0.579,28.6
70339,0.005,0.023,0.023,0.045,0,0.751,44.4
70340,0.003,0.029,0.024,0.053,0.001,1.147,51.8
70341,0.003,0.03,0.024,0.054,0.001,1.234,57.4
70342,0.003,0.059,0.029,0.088,0.002,2.004,78.4
70343,0.004,0.096,0.031,0.127,0.003,3.37,151.7
70344,0.004,0.081,0.026,0.106,0.003,3.343,174.8
70345,0.003,0.086,0.027,0.113,0.003,2.855,109.4
70346,0.003,0.078,0.025,0.103,0.002,2.572,91.4
70347,0.003,0.09,0.026,0.116,0.003,2.547,91
70348,0.003,0.125,0.029,0.154,0.004,2.722,121.7
70349,0.003,0.099,0.026,0.125,0.003,1.864,56.7
70350,0.004,0.097,0.021,0.117,0.003,2.926,104.4
70351,0.003,0.089,0.02,0.109,0.002,2.362,78.7
70352,0.003,0.102,0.023,0.125,0.003,2.46,79.5
70353,0.003,0.087,0.022,0.109,0.002,2.363,75.4
70354,0.003,0.09,0.031,0.122,0.002,2.229,88
70355,0.004,0.081,0.038,0.118,0.002,1.887,64.6
70356,0.011,0.034,0.03,0.064,0.001,1.002,28.8
70357,0.028,0.013,0.024,0.037,0.001,0.862,37.3
70358,0.032,0.007,0.01,0.016,0,0.34,28
70359,0.03,0.005,0.003,0.008,0,0.221,24
70360,0.027,0.005,0.003,0.007,0,0.245,32.6
70361,0.022,0.005,0.007,0.011,0,0.363,35.1
70362,0.02,0.005,0.005,0.01,0,0.28,19.2
70363,0.012,0.006,0.011,0.016,0,0.535,22.2
70364,0.005,0.014,0.021,0.035,0,1.138,55.8
70365,0.004,0.02,0.022,0.042,0.001,1.097,53.5
70366,0.004,0.032,0.023,0.055,0.001,1.497,98.9
70367,0.003,0.082,0.03,0.112,0.002,2.18,93.5
70368,0.004,0.041,0.02,0.06,0.001,1.875,93.2
70369,0.003,0.048,0.022,0.069,0.001,1.936,73.8
70370,0.003,0.093,0.024,0.117,0.003,2.533,112.4
70371,0.003,0.073,0.018,0.091,0.002,2.12,79.8
70372,0.003,0.064,0.017,0.08,0.002,1.707,62.2
70373,0.004,0.074,0.016,0.09,0.002,2.142,72.8
70374,0.003,0.069,0.014,0.083,0.002,2.623,78.5
70375,0.003,0.104,0.021,0.125,0.003,2.586,69.2
